GEOID,NAME,variable,estimate,moe,city,state
3651000,"New York city, New York",C16002_010,114462,2067,New York,NY
3651000,"New York city, New York",C16002_013,15174,977,New York,NY
3755000,"Raleigh city, North Carolina",B01003_001,449477,253,Raleigh,NC
3755000,"Raleigh city, North Carolina",B03002_003,240400,2568,Raleigh,NC
3755000,"Raleigh city, North Carolina",B03002_012,49226,1936,Raleigh,NC
3755000,"Raleigh city, North Carolina",B11016_001,176870,1422,Raleigh,NC
3755000,"Raleigh city, North Carolina",B17021_002,60295,2883,Raleigh,NC
3755000,"Raleigh city, North Carolina",B19013_001,61505,1030,Raleigh,NC
3755000,"Raleigh city, North Carolina",C16002_004,3208,463,Raleigh,NC
3755000,"Raleigh city, North Carolina",C16002_007,558,169,Raleigh,NC
3755000,"Raleigh city, North Carolina",C16002_010,1488,289,Raleigh,NC
3755000,"Raleigh city, North Carolina",C16002_013,479,171,Raleigh,NC
3918000,"Columbus city, Ohio",B01003_001,852144,151,Columbus,OH
3918000,"Columbus city, Ohio",B03002_003,484096,2860,Columbus,OH
3918000,"Columbus city, Ohio",B03002_012,50707,1452,Columbus,OH
3918000,"Columbus city, Ohio",B11016_001,345282,1876,Columbus,OH
3918000,"Columbus city, Ohio",B17021_002,172653,4952,Columbus,OH
3918000,"Columbus city, Ohio",B19013_001,49478,706,Columbus,OH
3918000,"Columbus city, Ohio",C16002_004,3983,413,Columbus,OH
3918000,"Columbus city, Ohio",C16002_007,2318,365,Columbus,OH
3918000,"Columbus city, Ohio",C16002_010,3288,385,Columbus,OH
3918000,"Columbus city, Ohio",C16002_013,2971,507,Columbus,OH
1814734,"Columbus city, Indiana",B01003_001,46926,383,Columbus,IN
1814734,"Columbus city, Indiana",B03002_003,37080,591,Columbus,IN
1814734,"Columbus city, Indiana",B03002_012,2681,394,Columbus,IN
1814734,"Columbus city, Indiana",B11016_001,18873,343,Columbus,IN
1814734,"Columbus city, Indiana",B17021_002,5632,894,Columbus,IN
1814734,"Columbus city, Indiana",B19013_001,57535,3858,Columbus,IN
1814734,"Columbus city, Indiana",C16002_004,204,120,Columbus,IN
1814734,"Columbus city, Indiana",C16002_007,93,74,Columbus,IN
1814734,"Columbus city, Indiana",C16002_010,233,133,Columbus,IN
1814734,"Columbus city, Indiana",C16002_013,19,31,Columbus,IN
820000,"Denver city, Colorado",B01003_001,678467,NA,Denver,CO
820000,"Denver city, Colorado",B03002_003,363712,289,Denver,CO
820000,"Denver city, Colorado",B03002_012,207100,NA,Denver,CO
820000,"Denver city, Colorado",B11016_001,287262,1398,Denver,CO
820000,"Denver city, Colorado",B17021_002,100611,3295,Denver,CO
820000,"Denver city, Colorado",B19013_001,60098,950,Denver,CO
820000,"Denver city, Colorado",C16002_004,8742,620,Denver,CO
820000,"Denver city, Colorado",C16002_007,1478,231,Denver,CO
820000,"Denver city, Colorado",C16002_010,2171,337,Denver,CO
820000,"Denver city, Colorado",C16002_013,1143,268,Denver,CO
1921000,"Des Moines city, Iowa",B01003_001,214778,107,Des Moines,IA
1921000,"Des Moines city, Iowa",B03002_003,142831,1411,Des Moines,IA
1921000,"Des Moines city, Iowa",B03002_012,28085,969,Des Moines,IA
1921000,"Des Moines city, Iowa",B11016_001,83916,954,Des Moines,IA
1921000,"Des Moines city, Iowa",B17021_002,37997,1725,Des Moines,IA
1921000,"Des Moines city, Iowa",B19013_001,49999,1156,Des Moines,IA
