city,pop,nhwht,hisp,hh,pov_p,medinc_h,limeng,pct_nwht,pct_hisp,pct_pov_p,pct_limeng_h
Indianapolis,853431,477245,86362,333316,167666,44709,12992,44.07925186687617,10.11938867934256,19.646110816222986,3.8978026857396584
Des Moines,214778,142831,28085,83916,37997,49999,3778,33.49830988276267,13.076292730167893,17.69129054186183,4.502121168787836
Topeka,127139,87645,18168,53220,20511,46087,939,31.063639009273313,14.289871715209337,16.132736611110673,1.7643742953776778
Wichita,389054,245499,65090,151665,64875,48982,5395,36.898476818128074,16.73032535329286,16.675063101780214,3.557181947054363
New Orleans,388182,118660,21448,154895,95346,38721,3519,69.43186443472392,5.525243313703366,24.562189900613628,2.271861583653443
"College Park, and the campus of the University of Maryland",32186,16314,4008,7226,5661,64107,555,49.31336605977754,12.452619151183745,17.588392468775243,7.680597841129256
Ellicott City,71737,41228,2195,25198,3007,124059,1065,42.52895995093188,3.0597878361236184,4.191700238370715,4.22652591475514
Ann Arbor,119303,81859,5228,47524,23967,61247,2235,31.3856315432135,4.382119477297302,20.08918468102227,4.702886962376905
Detroit,679865,67579,51685,258471,252897,27838,6100,90.05993837011759,7.602244563258882,37.19812021504269,2.360032653566551
Midland,41958,36730,1292,17574,5052,58910,78,12.460079126745793,3.0792697459364127,12.040612040612041,0.44383748719699556
Minneapolis,411452,246351,40147,172082,82022,55720,10285,40.12643030049678,9.757395759408146,19.934767603511467,5.976801757301751
Albuquerque,556718,222796,270215,221119,100260,49878,9412,59.98045689199918,48.537140886409276,18.009117722078326,4.2565315508843655
Buffalo,259574,114231,29311,110636,77750,34268,5133,55.99289605276338,11.291962985507023,29.952922865926478,4.639538667341552
Ithaca,30720,19683,2230,9869,9871,31967,383,35.927734375,7.259114583333333,32.132161458333336,3.880838990779208
New York,8560072,2747159,2491496,3142405,1648288,57782,466010,67.9072909667115,29.106016865278704,19.255538972102105,14.82972436716464
Rochester,209463,77108,37213,86180,66486,32347,5066,63.18777063252221,17.765906150489585,31.741166697698397,5.878394058946392
Raleigh,449477,240400,49226,176870,60295,61505,5733,46.51561703935908,10.951839582448045,13.414479495057588,3.2413637134618645
Cincinnati,298957,144219,10821,136180,82356,36429,2664,51.759283107604105,3.619584087343665,27.5477744290985,1.9562343956528123
Cleveland,388812,131338,43466,168496,133144,27854,6374,66.2206927769719,11.179181712498586,34.2437990596998,3.7828791187921373
Columbus,852144,484096,50707,345282,172653,49478,12560,43.190822208453035,5.9505200998892205,20.261012223286205,3.6376063623357138
Dayton,140939,74134,5563,57778,42382,30128,885,47.399938980693776,3.9470976805568365,30.07116553970157,1.5317248779812385
Oklahoma City,629191,340999,120183,237895,105303,51581,11082,45.80357951718953,19.101195026629433,16.7362533793395,4.658357678807878
Tulsa,401352,220273,63466,164381,78716,44577,6990,45.11725368255297,15.81305188462995,19.612709043433195,4.2523162652618005
Corvallis,56224,43558,4416,22379,13917,46285,764,22.527746158224247,7.854297097324986,24.752774615822425,3.4139148308682246
Eugene,163135,128236,15539,67335,34191,47489,1385,21.392711557912158,9.525239832040947,20.958715174548686,2.05687978020346
Portland,630331,447488,61214,260949,100073,61532,10339,29.007457986359547,9.711405594838267,15.876261837034827,3.9620768809230924
Philadelphia,1569657,548312,221777,591280,393924,40649,41350,65.06803715716237,14.129010350668969,25.096183433705583,6.99330266540387
Pittsburgh,305012,197215,8985,134820,62126,44092,3664,35.34188818800572,2.9457857395774596,20.368378949024958,2.717697670968699
Charleston,131204,94551,3747,53845,18285,61367,334,27.935886101033503,2.855858053108137,13.936312917289106,0.6202990064072802
Rapid City,72841,56215,3650,29723,11462,48895,177,22.825057316621134,5.010914182946418,15.735643387652559,0.5954984355549574
Memphis,654723,170708,45741,250259,172031,38230,5770,73.92668349821221,6.986313295851833,26.275386690249157,2.305611386603479
Austin,916906,445269,316709,361257,138274,63717,23683,51.43787912828578,34.54105437198579,15.08049898244749,6.555720719598512
